"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72565003017","1999-01-01","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  33.0","24","  27.4","24","1007.6","21","824.6","24","  8.9","24","  9.1","24"," 20.0"," 28.0","  41.0","*","  28.0","*"," 0.01","A","999.9","101000"
"72565003017","1999-01-02","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  19.0","24","  15.2","24","1021.9","19","834.3","24","  5.9","24","  7.4","24"," 17.1"," 27.0","  30.9","*","   3.0","*"," 0.10","G","  2.0","101000"
"72565003017","1999-01-03","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  12.0","24","   5.2","24","1027.3","21","836.2","23","  7.2","24","  6.8","24"," 14.0","999.9","  19.9","*","  -2.9","*"," 0.03","G","  2.0","101000"
"72565003017","1999-01-04","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  22.0","24","  10.8","24","1024.5","23","834.9","23","  9.9","24","  9.5","24"," 15.0","999.9","  37.9","*","  12.9","*"," 0.00","G","  1.2","000000"
"72565003017","1999-01-05","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  38.0","24","  21.5","24","1015.2","24","831.2","23","  9.9","24"," 12.1","24"," 21.0"," 25.1","  45.0","*","  26.1","*"," 0.00","G","  1.2","000000"
"72565003017","1999-01-06","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  40.7","24","  21.9","24","1015.0","24","832.0","24","  9.9","24","  8.6","24"," 18.1"," 20.0","  54.0","*","  25.0","*"," 0.00","G","999.9","100000"
"72565003017","1999-01-07","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  33.2","24","  25.1","24","1012.1","19","828.9","24","  5.8","24","  7.2","24"," 14.0","999.9","  57.0","*","  24.8","*"," 0.00","G","999.9","111000"
"72565003017","1999-01-08","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  28.8","24","  24.1","24","1013.2","20","829.7","23","  8.3","24","  6.2","24"," 12.0","999.9","  33.1","*","  26.1","*"," 0.00","G","  2.0","101000"
"72565003017","1999-01-09","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  29.1","24","  17.6","24","1020.8","23","834.0","24","  9.1","24","  9.3","24"," 20.0","999.9","  46.9","*","  15.1","*"," 0.04","G","  1.2","100000"
"72565003017","1999-01-10","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  39.3","24","  19.2","24","1018.3","24","999.9"," 0","  9.9","24","  8.7","24"," 18.1","999.9","  50.0","*","  30.0","*"," 0.00","G","999.9","000000"
"72565003017","1999-01-11","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  48.8","24","  20.3","24","1010.2","22","828.9","24","  9.9","24"," 14.6","24"," 22.9"," 32.1","  62.1","*","  35.1","*"," 0.00","G","999.9","000000"
"72565003017","1999-01-12","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  46.5","24","  18.0","24","1004.4","24","824.9","22","  9.9","24"," 10.4","24"," 21.0"," 28.0","  63.0"," ","  39.0"," "," 0.00","G","999.9","000000"
"72565003017","1999-01-13","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  32.1","24","  22.4","24","1015.2","24","831.3","23","  9.9","24","  8.3","24"," 15.0","999.9","  52.0"," ","  25.0"," "," 0.00","G","999.9","000000"
"72565003017","1999-01-14","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  32.6","24","  15.2","24","1021.7","22","835.9","24","  9.3","24","  9.9","24"," 19.0"," 23.9","  55.0","*","  19.9","*"," 0.03","G","999.9","101000"
"72565003017","1999-01-15","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  49.5","24","   6.4","24","1007.9","24","827.4","21","  9.8","24"," 13.7","24"," 32.1"," 40.0","  59.0","*","  42.8","*"," 0.00","G","999.9","000000"
"72565003017","1999-01-16","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  37.7","24","  19.7","24","1007.5","24","826.3","24","  9.9","24","  8.4","24"," 17.1"," 21.0","  48.9","*","  23.0","*"," 0.00","G","999.9","000000"
"72565003017","1999-01-17","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  37.4","24","  13.1","24","1007.5","24","825.5","24","  9.9","24"," 14.5","24"," 26.0"," 29.9","  51.1"," ","  21.0"," "," 0.00","G","999.9","000000"
"72565003017","1999-01-18","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  37.3","24","  15.1","24","1013.2","24","829.3","24","  9.9","24"," 10.0","24"," 24.1"," 29.9","  63.0","*","  21.0","*"," 0.00","G","999.9","000000"
"72565003017","1999-01-19","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  42.5","24","  26.9","24","1011.0","24","829.5","24","  9.9","24","  7.2","24"," 15.0","999.9","  63.0"," ","  19.9"," "," 0.00","G","999.9","000000"
"72565003017","1999-01-20","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  41.2","24","  21.0","24","1007.6","23","826.1","24","  9.9","24","  6.8","24"," 12.0"," 15.0","  55.4","*","  28.0","*"," 0.00","G","999.9","000000"
"72565003017","1999-01-21","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  37.0","24","  23.3","24"," 999.2","24","819.0","24","  9.9","24","  8.8","24"," 17.1"," 21.0","  46.0","*","  26.1","*"," 0.00","G","999.9","000000"
"72565003017","1999-01-22","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  30.1","24","  23.2","24","1013.3","23","830.4","18","  8.2","21","  9.7","24"," 21.0"," 25.1","  37.0","*","  21.9","*"," 0.20","G","  2.0","101000"
"72565003017","1999-01-23","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  29.1","24","  14.2","24","1012.7","24","827.4","24","  9.9","24","  7.3","24"," 10.1","999.9","  55.0","*","  12.0","*"," 0.02","G","  1.2","000000"
"72565003017","1999-01-24","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  32.7","24","  22.6","24","1011.5","22","828.7","24","  8.1","24"," 10.1","24"," 15.0","999.9","  55.0"," ","  12.0"," "," 0.00","G","999.9","101000"
"72565003017","1999-01-25","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  24.9","24","  19.5","24","1023.6","24","835.8","24","  9.1","24","  3.5","24","  8.9","999.9","  34.0","*","  19.0","*"," 0.00","G","999.9","000000"
"72565003017","1999-01-26","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  31.8","24","  21.9","24","1009.2","22","824.7","24","  8.2","24","  6.9","24"," 25.1"," 32.1","  53.6","*","  18.0","*"," 0.00","G","999.9","100000"
"72565003017","1999-01-27","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  35.2","24","  12.7","24","1011.2","24","828.0","24","  9.9","24"," 12.6","24"," 22.9"," 32.1","  54.0"," ","  18.0"," "," 0.00","G","999.9","000000"
"72565003017","1999-01-28","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  29.4","24","  21.6","24","1020.2","24","834.2","24","  7.9","24","  5.6","24"," 13.0","999.9","  43.0","*","  19.9","*"," 0.01","G","999.9","101000"
"72565003017","1999-01-29","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  29.7","23","  16.9","23","1024.1","23","837.2","23","  8.5","23","  7.6","23"," 11.1","999.9","  44.1"," ","  19.0"," "," 0.00","G","999.9","100000"
