"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72565003017","1996-01-01","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  26.5","24","  22.1","24","1016.5","24","830.8","24","  7.6","24","  8.4","24"," 15.9","999.9","  39.0"," ","  21.9"," "," 0.00","D","999.9","101000"
"72565003017","1996-01-02","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  16.8","24","   9.4","24","1022.8","24","833.8","24","  8.9","24","  7.9","24"," 17.9"," 25.8","  28.0"," ","  10.9"," "," 0.02","G","999.9","101000"
"72565003017","1996-01-03","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  32.2","24","  18.2","24","1006.1","24","821.6","24","  9.9","24","  9.9","24"," 22.0"," 25.8","  51.1","*","  10.9"," "," 0.00","G","999.9","000000"
"72565003017","1996-01-04","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  28.9","24","  19.7","24","1005.6","24","822.9","24","  6.7","24","  8.1","24"," 22.9","999.9","  52.0"," ","  14.0","*"," 0.00","D","999.9","101000"
"72565003017","1996-01-05","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","   9.1","24","   6.0","24","1023.6","24","832.9","24","  5.2","24","  5.2","24"," 10.1","999.9","  16.0","*","   3.9"," "," 0.08","G","999.9","101000"
"72565003017","1996-01-06","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  11.6","24","   3.2","24","1029.8","24","837.5","24","  5.9","24","  4.2","24"," 10.1","999.9","  28.0","*","  -6.2"," "," 0.01","G","999.9","101000"
"72565003017","1996-01-07","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  19.4","24","  10.6","24","1028.2","24","837.6","24","  8.6","24","  4.5","24","  8.0","999.9","  42.1","*","  -6.0"," "," 0.00","G","999.9","100000"
"72565003017","1996-01-08","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  42.5","24","  18.3","24","1018.3","24","834.0","24","  9.9","24","  7.3","24"," 12.0","999.9","  61.0","*","  28.9","*"," 0.00","D","999.9","000000"
"72565003017","1996-01-09","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  39.2","24","  21.0","24","1019.1","24","835.6","24","  9.9","24","  5.7","24"," 10.1","999.9","  61.0"," ","  26.1"," "," 0.00","D","999.9","000000"
"72565003017","1996-01-10","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  40.5","24","  22.8","24","1013.5","24","830.3","24","  9.9","24","  9.1","24"," 24.1"," 28.0","  52.0"," ","  19.9"," "," 0.00","D","999.9","000000"
